SR_ID_Pub3,No of trials_Pub3,No of participants_Pub3,List of participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,conclusion,No of trials_Pub2,No of participants_Pub2,List of participants_Pub2,SearchDate_Pub2
26331392,4,317,"[100, 105, 80, 32]",3-Sep-15,31-Mar-15,0,4,317,"[100, 105, 80, 32]",31-Jul-13
26329399,25,731,"[9, 579, 128, 15]",1-Sep-15,31-Aug-14,1,14,137,"[9, 128]",31-May-08
26301604,6,1007,"[225, 401, 30, 274, 77]",24-Aug-15,30-Jun-15,0,8,1622,"[630, 401, 30, 77, 302, 81, 101]",31-Mar-11
26301526,15,3615,"[100, 33, 43, 309, 508, 423, 115, 61, 1294, 64, 21, 644]",24-Aug-15,30-Nov-14,0,15,3615,"[100, 33, 43, 309, 508, 423, 115, 61, 1294, 64, 21, 644]",30-Nov-14
26299991,6,0,[],24-Aug-15,22-May-15,0,5,0,[],16-Jun-11
26299681,3,79,"[20, 40, 19]",24-Aug-15,30-Jun-15,0,3,79,"[20, 40, 19]",31-May-12
26297797,18,633,"[22, 54, 20, 30, 30, 30, 40, 22, 30, 10, 24, 93, 60, 17, 18, 20, 80, 33]",22-Aug-15,30-Sep-14,1,8,203,"[54, 20, 30, 30, 10, 24, 17, 18]",31-Mar-09
26286189,5,268,"[44, 131, 11, 60, 22]",19-Aug-15,31-Mar-15,0,5,268,"[44, 131, 11, 60, 22]",30-Nov-12
26284429,5,15,"[2, 9, 4]",18-Aug-15,30-Mar-15,0,4,15,"[2, 9, 4]",30-Sep-10
26282071,19,1064,"[122, 100, 42, 20, 44, 14, 49, 262, 37, 60, 90, 66, 16, 39, 75, 10, 18]",18-Aug-15,31-Oct-14,0,14,878,"[122, 100, 42, 44, 15, 49, 262, 60, 90, 66, 10, 18]",31-Jan-08
26282194,8,218,"[35, 64, 10, 15, 29, 24, 17, 24]",17-Aug-15,30-Jun-14,0,7,189,"[35, 64, 10, 15, 24, 17, 24]",31-Jul-10
26280888,5,1503,"[23, 1130, 130, 20, 200]",17-Aug-15,4-Aug-15,0,4,373,"[23, 130, 20, 200]",28-Feb-12
26263042,16,837,"[26, 75, 22, 48, 77, 37, 55, 40, 64, 112, 70, 39, 23, 40, 32, 77]",17-Sep-15,31-Aug-15,1,1,67,[67],30-Nov-08
26250103,12,650,"[68, 107, 72, 30, 100, 35, 40, 62, 40, 22, 20, 54]",7-Aug-15,31-May-15,1,4,202,"[68, 72, 40, 22]",31-Mar-11
26241793,4,50,"[40, 10]",4-Aug-15,12-May-15,0,4,50,"[40, 10]",31-Mar-10
26233609,32,6515,"[280, 294, 58, 203, 62, 289, 113, 69, 288, 317, 388, 120, 306, 104, 111, 95, 178, 143, 82, 437, 201, 215, 62, 95, 155, 436, 394, 457, 136, 167, 119, 141]",2-Aug-15,31-Aug-14,0,29,5970,"[294, 58, 62, 289, 113, 69, 288, 317, 388, 120, 306, 104, 111, 95, 178, 143, 82, 437, 201, 215, 95, 155, 436, 394, 457, 136, 167, 119, 141]",30-Apr-07
26224322,80,320,"[17, 149, 154]",30-Jul-15,31-Jan-15,1,73,17,[17],31-May-09
26221993,1,200,[200],26-Jul-15,20-May-15,0,1,200,[200],8-Jun-12
26200817,13,1863,"[74, 402, 915, 50, 399, 1, 1, 1, 20]",22-Jul-15,17-Feb-15,0,11,1201,"[75, 493, 598, 1, 1, 33]",31-Jul-12
26195091,14,5541,"[947, 385, 3686, 32, 491]",21-Jul-15,30-Jun-15,0,14,5541,"[947, 385, 3686, 32, 491]",31-May-12
26184395,15,1645,"[12, 877, 115, 93, 4, 169, 201, 1, 66, 107]",16-Jul-15,31-Mar-15,0,10,13,"[12, 1]",31-May-08
26184394,7,7730,"[3252, 549, 2764, 122, 526, 517]",16-Jul-15,23-Mar-15,0,7,7730,"[3252, 549, 2764, 122, 526, 517]",30-Apr-10
26176166,13,484,"[60, 40, 10, 20, 42, 16, 40, 60, 60, 18, 41, 40, 37]",15-Jul-15,29-Jul-14,0,7,205,"[40, 10, 20, 16, 60, 18, 41]",30-Jun-11
26171903,6,2248,"[6, 1509, 396, 325, 12]",14-Jul-15,30-Jun-15,0,4,2236,"[6, 1509, 396, 325]",10-Oct-11
26171898,8,183,[183],14-Jul-15,6-Aug-14,0,6,0,[],30-Nov-09
26171896,12,39933,"[648, 1628, 9310, 955, 1062, 915, 2428, 463, 15530, 4997, 1009, 988]",14-Jul-15,30-Mar-15,0,12,39933,"[648, 1628, 9310, 955, 1062, 915, 2428, 463, 15530, 4997, 1009, 988]",30-Sep-09
26171895,28,2681,"[100, 60, 120, 134, 50, 198, 70, 65, 84, 93, 103, 70, 80, 123, 308, 61, 60, 112, 122, 61, 89, 83, 112, 40, 75, 67, 61, 80]",14-Jul-15,15-Jan-13,0,17,1796,"[60, 134, 50, 198, 84, 93, 103, 70, 80, 123, 308, 111, 83, 112, 40, 67, 80]",31-Dec-08
26171894,19,1944,"[70, 80, 75, 75, 60, 60, 122, 100, 200, 75, 114, 150, 106, 50, 75, 204, 80, 248]",14-Jul-15,31-Oct-13,0,15,1471,"[70, 80, 75, 75, 60, 60, 122, 100, 200, 114, 106, 50, 75, 204, 80]",30-Jun-07
26151766,18,3685,"[97, 151, 257, 305, 70, 252, 217, 265, 184, 245, 202, 208, 183, 255, 201, 269, 75, 249]",7-Jul-15,9-Mar-15,1,15,3033,"[97, 151, 257, 305, 70, 252, 217, 265, 184, 245, 208, 183, 255, 269, 75]",31-Dec-08
26148507,94,24117,"[86, 156, 257, 108, 145, 57, 176, 570, 60, 800, 38, 286, 387, 110, 1983, 61, 60, 430, 39, 39, 412, 1211, 76, 38, 270, 166, 95, 201, 1053, 64, 114, 1363, 150, 122, 300, 56, 266, 97, 45, 56, 426, 154, 181, 40, 69, 430, 220, 156, 200, 197, 100, 43, 402, 683, 156, 413, 126, 302, 310, 165, 355, 98, 309, 60, 132, 303, 404, 300, 224, 283, 201, 120, 124, 80, 60, 86, 160, 147, 1297, 99, 100, 168, 283, 285, 131, 375, 89, 126, 30, 407, 505]",7-Jul-15,30-Nov-14,1,69,16158,"[86, 156, 257, 57, 176, 570, 38, 286, 387, 60, 430, 39, 412, 1211, 76, 38, 270, 166, 201, 64, 114, 1363, 150, 122, 300, 56, 266, 97, 56, 154, 181, 40, 430, 220, 156, 197, 100, 43, 156, 413, 126, 302, 310, 165, 60, 132, 404, 300, 23, 224, 283, 201, 120, 124, 60, 86, 160, 1297, 99, 100, 168, 283, 131, 375, 89, 30, 407, 505]",28-Feb-11
26146793,17,1342,"[254, 235, 83, 84, 50, 53, 42, 15, 62, 29, 120, 38, 47, 125, 37, 35, 33]",6-Jul-15,31-Mar-15,1,22,1708,"[254, 235, 84, 70, 208, 22, 46, 62, 31, 50, 130, 53, 42, 15, 62, 29, 38, 47, 125, 37, 35, 33]",30-Sep-12
26133313,12,1731,"[32, 83, 19, 90, 30, 6, 29, 60, 1140, 31, 83, 128]",2-Jul-15,31-May-14,1,3,1223,"[83, 1140]",31-Jan-08
26133124,6,1438,"[300, 450, 142, 317, 79, 150]",2-Jul-15,31-Dec-07,0,6,1438,"[300, 450, 142, 317, 79, 150]",31-Dec-07
26130017,81,11552,"[341, 554, 30, 84, 190, 264, 240, 170, 140, 120, 118, 187, 205, 93, 41, 88, 175, 61, 149, 70, 40, 96, 110, 192, 110, 250, 191, 35, 96, 120, 167, 20, 96, 130, 300, 273, 449, 120, 100, 89, 120, 195, 301, 102, 32, 190, 254, 100, 144, 45, 15, 74, 145, 100, 463, 597, 199, 76, 2, 163, 30, 54, 127, 72, 62, 100, 587, 60, 69, 300, 140, 102, 156, 72]",1-Jul-15,26-Jun-14,0,62,6538,"[133, 84, 190, 240, 142, 92, 170, 187, 139, 80, 69, 118, 88, 61, 149, 139, 50, 110, 97, 50, 75, 96, 130, 166, 63, 120, 100, 71, 91, 120, 195, 301, 139, 82, 102, 190, 30, 254, 45, 72, 79, 100, 296, 273, 162, 20, 100, 67, 91, 62, 46, 128, 53, 116, 60, 55]",20-Mar-08
26121003,5,796,"[150, 100, 501, 45]",29-Jun-15,30-Apr-15,0,5,796,"[150, 100, 501, 45]",30-Nov-12
26118415,11,953,"[86, 49, 35, 44, 151, 134, 22, 102, 67, 225, 38]",29-Jun-15,30-Apr-20,0,10,0,[],31-Oct-08
26116828,13,434,"[17, 38, 34, 20, 39, 9, 51, 41, 22, 20, 65, 66, 12]",28-Jun-15,10-Mar-15,0,7,231,"[17, 20, 9, 42, 65, 66, 12]",29-Nov-10
26111021,1,24,[24],25-Jun-15,26-Mar-15,0,1,24,[24],10-May-12
26107113,4,388,"[132, 234, 12, 10]",24-Jun-15,7-May-15,0,4,268,"[132, 114, 12, 10]",28-Oct-10
26092137,8,1784,"[320, 235, 437, 224, 400, 168]",20-Jun-15,30-Apr-15,0,7,1784,"[320, 235, 437, 224, 400, 168]",31-Jul-14
26087057,4,184,[184],18-Jun-15,31-Jan-15,0,3,184,[184],30-Sep-08
26086959,8,778,"[68, 12, 57, 240, 242, 116, 43]",18-Jun-15,28-Feb-15,1,2,283,"[240, 43]",31-Jul-08
26083192,1,146,[146],17-Jun-15,31-Oct-14,0,1,146,[146],28-Feb-09
26079202,12,2029,"[740, 180, 90, 120, 100, 176, 400, 223]",16-Jun-15,28-Jan-15,1,2,580,"[180, 400]",15-Feb-11
26075732,19,1334,"[90, 19, 71, 100, 142, 32, 40, 25, 62, 148, 88, 100, 90, 30, 21, 100, 100, 40, 36]",15-Jun-15,3-Dec-14,0,12,919,"[19, 71, 100, 142, 62, 148, 90, 30, 21, 100, 100, 36]",31-Jan-07
26068707,65,6228,"[246, 64, 80, 37, 50, 20, 75, 342, 68, 160, 116, 327, 60, 99, 691, 72, 1, 92, 401, 64, 35, 183, 132, 800, 445, 855, 193, 160, 360]",15-Jun-15,5-Nov-14,1,28,1305,"[80, 50, 20, 75, 160, 327, 60, 401, 132]",20-Oct-11
26068955,61,9418,"[56, 252, 243, 160, 100, 51, 430, 240, 60, 37, 64, 60, 60, 131, 100, 271, 50, 449, 30, 60, 43, 354, 142, 287, 85, 134, 60, 185, 74, 418, 384, 100, 85, 100, 172, 163, 231, 100, 206, 205, 204, 98, 169, 40, 120, 242, 232, 72, 80, 372, 214, 140, 82, 20, 155, 366, 120, 30, 60, 100, 70]",15-Jun-15,28-Feb-15,1,47,5657,"[56, 70, 252, 243, 160, 100, 51, 60, 37, 64, 60, 60, 131, 100, 271, 50, 30, 60, 43, 142, 287, 85, 134, 60, 74, 100, 85, 100, 163, 172, 231, 100, 98, 169, 40, 120, 80, 372, 214, 82, 20, 155, 366, 120, 30, 60, 100]",31-Dec-09
26041152,1,22,[22],4-Jun-15,3-Jun-15,0,1,22,[22],5-Jul-12
26031211,17,8215,"[294, 27, 1251, 20, 344, 1296, 384, 568, 747, 456, 1320, 127, 1051, 47, 153, 130]",2-Jun-15,31-Jan-15,1,15,6217,"[27, 1251, 20, 344, 1296, 568, 747, 456, 127, 1051, 47, 153, 130]",22-Jul-11
26026155,45,5598,"[42, 70, 158, 60, 112, 68, 115, 29, 149, 376, 403, 42, 163, 877, 30, 61, 119, 23, 21, 19, 148, 549, 40, 74, 123, 32, 115, 70, 10, 32, 352, 52, 206, 208, 115, 25, 36, 36, 23, 46, 255, 30, 84]",30-May-15,28-Apr-14,1,22,1665,"[70, 68, 115, 29, 149, 119, 23, 21, 549, 40, 74, 123, 10, 115, 25, 36, 23, 46, 30]",30-Jun-09
26017576,8,1192,"[57, 160, 131, 35, 99, 497, 152, 61]",28-May-15,17-Oct-13,0,8,1192,"[57, 160, 131, 35, 99, 497, 152, 61]",31-Aug-11
25991406,4,161,"[10, 20, 63, 68]",20-May-15,11-Feb-15,0,4,161,"[10, 20, 63, 68]",15-May-13
25984923,13,675,"[50, 10, 14, 17, 20, 142, 67, 30, 25, 88, 126, 50, 36]",18-May-15,21-Jul-14,1,12,625,"[10, 14, 17, 20, 142, 67, 30, 25, 88, 126, 50, 36]",1-Oct-10
25968066,2,110,[110],13-May-15,28-Feb-15,0,2,110,[110],31-May-09
25950424,7,16,[16],7-May-15,27-Jun-14,1,3,238,"[36, 69, 133]",31-Dec-08
25946084,10,811,"[49, 24, 22, 146, 117, 106, 84, 50, 42, 171]",6-May-15,28-Feb-15,0,4,294,"[49, 24, 50, 171]",30-Sep-09
25942496,8,1168,"[285, 118, 14, 99, 115, 537]",5-May-15,30-Jun-14,0,4,617,"[285, 118, 99, 115]",30-Jun-11
25940444,8,12026,"[3242, 658, 301, 1838, 278, 4561, 442, 706]",5-May-15,18-Oct-13,1,3,0,[],31-Jan-08
25929694,12,141,"[10, 7, 12, 3, 12, 8, 7, 24, 25, 33]",1-May-15,30-Nov-14,0,5,48,"[12, 3, 33]",30-Apr-13
25929461,2,0,[],1-May-15,31-Jan-15,0,2,0,[],30-Nov-09
25924805,18,1456,"[134, 127, 55, 8, 29, 25, 38, 28, 32, 50, 28, 66, 21, 63, 146, 546, 20, 40]",30-Apr-15,28-Feb-15,0,17,910,"[134, 127, 55, 8, 29, 25, 38, 28, 32, 50, 28, 66, 21, 63, 146, 20, 40]",30-Sep-07
25923419,32,15278,"[780, 175, 1800, 531, 22, 104, 1474, 2305, 1261, 87, 1906, 823, 3692, 318]",29-Apr-15,31-May-14,0,26,9650,"[435, 60, 103, 194, 85, 135, 67, 134, 6451, 142, 501, 154, 251, 51, 17, 53, 781, 36]",31-Aug-07
25892369,5,749,"[143, 74, 62, 401, 69]",20-Apr-15,31-Aug-14,0,3,0,[],31-May-09
25884249,12,433,"[40, 25, 20, 42, 36, 24, 85, 25, 10, 42, 45, 39]",17-Apr-15,26-Mar-15,0,7,284,"[40, 20, 36, 40, 71, 41, 36]",31-Dec-06
25858345,13,5072,"[402, 114, 725, 678, 702, 699, 93, 1195, 44, 218, 122, 80]",10-Apr-15,2-Mar-15,0,13,5122,"[402, 114, 50, 725, 678, 702, 699, 93, 1195, 44, 218, 122, 80]",27-Mar-08
25855461,3,12,[12],9-Apr-15,3-Nov-14,0,3,12,[12],27-Aug-12
25842375,23,1586,"[24, 69, 556, 30, 94, 28, 9, 164, 62, 20, 106, 9, 9, 31, 205, 25, 16, 24, 30, 19, 21, 22, 13]",5-Apr-15,27-Oct-14,0,23,1586,"[24, 69, 556, 30, 94, 28, 9, 164, 62, 20, 106, 9, 9, 31, 205, 25, 16, 24, 30, 19, 21, 22, 13]",31-Jul-10
25828903,8,812,"[620, 192]",1-Apr-15,28-Feb-15,0,7,812,"[620, 192]",7-Aug-12
25821069,2,743,[743],30-Mar-15,31-Jan-14,0,1,0,[],30-Jun-11
25812932,16,837,"[26, 75, 22, 48, 77, 37, 55, 40, 64, 112, 70, 39, 23, 40, 32, 77]",17-Sep-15,31-Aug-15,1,6,108,"[42, 57, 5, 3, 1]",31-Jan-10
25803792,26,7666,"[300, 931, 6435]",23-Mar-15,31-May-14,1,19,12554,"[3275, 1913, 931, 6435]",31-Jan-10
25803542,14,0,[],22-Mar-15,30-Nov-11,1,5,0,[],30-Nov-11
25751631,6,50,[50],9-Mar-15,31-May-14,0,4,50,[50],31-Jul-11
25741986,2,78,"[39, 39]",5-Mar-15,19-Nov-14,0,1,39,[39],2-Aug-12
25738821,8,1288,"[50, 50, 128, 39, 400, 278, 281, 62]",4-Mar-15,31-Jan-12,0,6,1187,"[50, 50, 128, 400, 278, 281]",30-Sep-12
25726920,28,17570,"[496, 543, 846, 278, 536, 60, 303, 218, 273, 100, 726, 1154, 452, 2095, 114, 4614, 772, 444, 409, 275, 430, 650, 165, 785, 200, 383, 110, 139]",2-Mar-15,31-Aug-14,0,14,11270,"[543, 278, 536, 60, 303, 100, 1154, 2095, 114, 4614, 275, 615, 200, 383]",30-Apr-09
25721946,7,1053,"[100, 275, 182, 192, 86, 188, 30]",27-Feb-15,30-Jun-14,0,7,0,[],30-Jun-07
25716704,6,344,"[42, 33, 80, 125, 24, 40]",26-Feb-15,31-Oct-14,0,5,352,"[33, 80, 125, 74, 40]",31-Aug-10
25922862,25,8877,"[11, 593, 12, 5, 670, 3, 3, 78, 2, 290, 2295, 55, 14, 30, 103, 131, 29, 330, 16, 4157, 50]",25-Feb-15,30-Sep-14,0,22,8612,"[11, 593, 12, 5, 670, 78, 33, 2295, 55, 14, 30, 103, 131, 29, 330, 16, 4157, 50]",17-Mar-11
25715323,12,2560,"[115, 46, 24, 1350, 488, 62, 44, 397, 34]",25-Feb-15,30-Nov-14,0,8,2490,"[115, 1350, 488, 62, 44, 397, 34]",30-Jun-11
25701429,2,408,"[193, 215]",21-Feb-15,8-Sep-14,0,2,408,"[193, 215]",6-Aug-12
25698124,1,585,[585],20-Feb-15,31-Aug-13,0,1,585,[585],31-Jan-10
25695213,16,5683,"[243, 2690, 851, 140, 113, 65, 200, 53, 49, 100, 100, 100, 549, 99, 118, 213]",19-Feb-15,30-Jun-14,0,15,4500,"[122, 2690, 140, 113, 65, 53, 53, 49, 100, 88, 97, 559, 99, 59, 213]",31-Jan-08
25922864,3,168,"[35, 133]",18-Feb-15,27-Aug-14,0,3,168,"[35, 133]",31-Jan-12
25687750,1,0,[],17-Feb-15,31-Dec-14,0,1,0,[],31-Jul-12
25927099,37,522,"[42, 10, 15, 15, 4, 9, 13, 17, 10, 5, 5, 11, 8, 12, 15, 12, 10, 40, 13, 20, 20, 9, 25, 18, 27, 10, 11, 9, 18, 17, 16, 11, 12, 7, 10, 5, 11]",12-Feb-15,31-Oct-13,0,19,276,"[42, 9, 17, 10, 5, 5, 8, 12, 20, 20, 9, 25, 18, 27, 11, 11, 12, 10, 5]",31-Mar-10
25927097,6,1342,"[249, 678, 135, 25, 60, 195]",5-Feb-15,1-Dec-14,0,6,1342,"[249, 678, 135, 25, 60, 195]",30-Sep-12
25922865,4,1381,"[1047, 12, 322]",4-Feb-15,31-Oct-14,0,2,1369,"[1047, 322]",9-Mar-12
25927096,13,100,[100],3-Feb-15,31-Jul-14,0,14,657,"[16, 309, 100, 133, 99]",31-May-11
25922860,1,4429,[4429],1-Feb-15,30-Nov-14,0,1,4429,[4429],31-Jul-09
25626888,4,1219,"[25, 114, 80, 1000]",28-Jan-15,30-Nov-10,0,4,1220,"[25, 114, 80, 1001]",30-Nov-10
25622306,66,22932,"[265, 348, 3484, 506, 1112, 1618, 60, 64, 322, 191, 104, 166, 338, 100, 18, 14, 3, 76, 6, 115, 13, 177, 14, 104, 146, 284, 2435, 18, 12, 239, 185, 316, 281, 240, 1620, 348, 254, 76, 14, 43, 1751, 99, 61, 252, 214, 295, 818, 423, 119, 32, 363, 266, 43, 41, 617, 43, 106, 111, 634, 335, 580]",26-Jan-15,31-May-14,1,26,10251,"[363, 60, 64, 509, 100, 100, 100, 2936, 2439, 122, 112, 218, 429, 245, 245, 245, 316, 299, 76, 91, 99, 92, 214, 37, 106, 634]",31-Mar-08
25620061,3,323,"[76, 187, 60]",26-Jan-15,31-Jul-14,0,4,448,"[76, 125, 187, 60]",31-May-09
25604891,6,1009,"[30, 386, 100, 293, 76, 124]",21-Jan-15,31-Oct-14,0,5,623,"[30, 100, 293, 76, 124]",31-May-11
25581416,8,1977,"[60, 60, 74, 120, 419, 216, 909, 119]",12-Jan-15,31-Dec-10,1,4,673,"[60, 74, 120, 419]",31-Dec-10
25574904,21,1746,"[106, 62, 148, 67, 70, 98, 168, 44, 64, 100, 60, 44, 70, 72, 90, 104, 55, 50, 132, 80, 62]",9-Jan-15,31-May-14,0,15,331,"[106, 100, 70, 55]",31-Jan-08
25569281,54,5847,"[28, 46, 34, 140, 89, 50, 41, 41, 41, 83, 142, 293, 70, 54, 126, 23, 217, 132, 70, 418, 102, 106, 389, 259, 34, 103, 107, 108, 79, 113, 158, 37, 80, 180, 137, 87, 25, 37, 75, 20, 35, 72, 34, 786, 65, 102, 113, 84, 182]",9-Jan-15,31-May-13,0,33,3784,"[46, 34, 140, 83, 293, 295, 126, 23, 217, 132, 70, 34, 103, 113, 158, 37, 80, 180, 137, 179, 87, 25, 20, 72, 34, 786, 65, 102, 113]",31-Dec-07
25565627,3,180,"[33, 147]",7-Jan-15,31-Jul-15,0,2,19,[19],31-Mar-11
25564068,10,36,"[13, 23]",7-Jan-15,30-Jun-13,0,9,870,"[172, 34, 257, 69, 182, 37, 71, 48]",31-May-11
25558862,15,2217,"[168, 82, 574, 198, 253, 8, 299, 205, 76, 31, 75, 59, 44, 38, 107]",6-Jan-15,31-Oct-14,0,15,2217,"[168, 82, 574, 198, 253, 8, 299, 205, 76, 31, 75, 59, 44, 38, 107]",30-Nov-11
25561247,2,52,"[28, 24]",5-Jan-15,27-Oct-14,0,2,40,[40],20-Feb-12
25547090,16,15770,"[2, 19, 5118, 9589, 0, 899, 90, 15, 18, 10, 10]",30-Dec-14,31-Jul-14,0,11,15735,"[2, 19, 5118, 9589, 0, 899, 90, 18]",31-May-11
25528992,1,0,[],22-Dec-14,30-Nov-14,0,1,0,[],31-May-12
25525690,2,0,[],19-Dec-14,28-Feb-14,0,2,0,[],30-Nov-10
25518837,1,1315,[1315],18-Dec-14,28-Feb-14,0,1,1315,[1315],30-Apr-11
25501301,3,68,"[5, 51, 12]",15-Dec-14,29-May-14,0,3,68,"[5, 51, 12]",10-Jul-12
25502052,20,7238,"[320, 331, 1889, 401, 362, 480, 577, 552, 200, 164, 441, 442, 72, 210, 305, 49, 60, 167, 144, 72]",11-Dec-14,28-Aug-14,1,15,5253,"[320, 331, 1889, 401, 362, 480, 164, 441, 72, 210, 305, 49, 60, 167, 2]",31-Jan-12
25493690,18,4323,"[264, 491, 91, 216, 80, 420, 77, 109, 201, 121, 99, 256, 423, 58, 158, 1072, 118, 69]",10-Dec-14,31-Oct-14,1,4,418,"[80, 121, 99, 118]",31-Mar-08
25491891,8,543,"[44, 42, 314, 21, 36, 48, 38]",10-Dec-14,31-Jul-14,1,7,315,"[130, 42, 21, 36, 48, 38]",30-Apr-11
25485858,6,168,"[32, 26, 40, 15, 55]",8-Dec-14,31-Aug-12,0,6,168,"[32, 26, 40, 15, 55]",31-Aug-12
25470303,4,675,"[122, 110, 256, 187]",3-Dec-14,30-Jun-14,0,4,675,"[122, 110, 256, 187]",30-Nov-11
25433518,11,1350,"[208, 63, 152, 50, 10, 72, 33, 73, 126, 439, 124]",30-Nov-14,11-Jun-14,0,10,1278,"[208, 63, 152, 50, 10, 33, 73, 126, 439, 124]",11-Nov-11
25427003,2,93,"[38, 55]",26-Nov-14,23-Jun-14,1,1,55,[55],31-Jul-09
25425092,17,1381,"[26, 20, 80, 156, 50, 40, 40, 137, 42, 52, 100, 113, 116, 161, 100, 56, 92]",26-Nov-14,22-Aug-14,1,16,1289,"[26, 20, 80, 156, 50, 40, 40, 137, 42, 52, 100, 113, 116, 161, 100, 56]",31-Dec-08
25425010,2,0,[],26-Nov-14,2-Nov-12,0,2,0,[],31-Jan-10
25420475,8,807,"[152, 40, 119, 180, 180, 136]",25-Nov-14,21-Mar-14,0,6,637,"[141, 180, 180, 136]",1-Mar-11
25419599,4,190,"[120, 28, 42]",24-Nov-14,4-Sep-14,0,4,190,"[120, 28, 42]",2-Aug-12
25414987,8,1501,"[47, 516, 50, 200, 150, 204, 206, 128]",21-Nov-14,31-Jul-14,0,7,0,[],31-Oct-11
25407135,8,1183,"[70, 86, 268, 91, 177, 151, 40, 300]",19-Nov-14,30-Jun-14,0,5,0,[],11-Apr-08
25406011,9,539,"[40, 17, 73, 1, 110, 60, 66, 172]",18-Nov-14,15-Oct-14,1,6,475,"[40, 17, 73, 110, 94, 141]",30-Sep-08
25405603,3,1027,"[186, 741, 100]",18-Nov-14,30-Sep-14,0,3,1027,"[186, 741, 100]",28-Feb-12
25403701,9,4654,"[627, 170, 98, 480, 200, 200, 553, 318, 2008]",18-Nov-14,29-Aug-14,0,12,5257,"[627, 170, 480, 200, 200, 553, 318, 2008, 701]",30-Jun-08
25390767,10,1882,"[37, 1000, 735, 110]",12-Nov-14,31-Jul-14,0,9,1882,"[37, 1000, 735, 110]",19-Jun-12
25375222,3,857,"[242, 215, 400]",6-Nov-14,26-Jun-14,0,3,857,"[242, 215, 400]",28-Mar-12
25374369,2,0,[],6-Nov-14,30-Sep-14,0,1,0,[],30-Sep-10
25353321,29,17226,"[339, 38, 37, 4071, 179, 763, 28, 37, 4011, 40, 19, 19, 15, 75, 404, 2839, 42, 14, 14, 1360, 90, 90, 90, 41, 2029, 19, 100, 405, 18]",28-Oct-14,28-Feb-14,0,15,1340,"[339, 37, 28, 37, 40, 19, 19, 15, 404, 14, 90, 90, 90, 100, 18]",31-Jul-07
25350672,95,12124,"[100, 106, 12, 259, 475, 269, 119, 148, 40, 400, 124, 110, 80, 360, 182, 101, 57, 82, 158, 100, 91, 118, 89, 95, 57, 103, 61, 68, 114, 219, 90, 160, 386, 182, 152, 113, 78, 307, 80, 146, 97, 201, 100, 150, 128, 100, 232, 73, 300, 60, 70, 330, 222, 71, 278, 266, 140, 128, 120, 129, 115, 100, 441, 60, 100, 60, 53, 198, 199, 361, 113, 102, 96, 35, 120, 80, 93, 80, 112, 320, 100]",28-Oct-14,31-Jul-14,0,86,484,"[80, 70, 60, 60, 102, 112]",31-May-09
25317988,2,2193,"[1473, 720]",15-Oct-14,31-May-14,0,2,2193,"[1473, 720]",31-Dec-11
25314586,8,437,"[28, 62, 31, 47, 10, 42, 88, 129]",14-Oct-14,12-Aug-13,0,1,47,[47],30-Apr-07
25310725,1,10,[10],13-Oct-14,8-Jul-14,0,1,10,[10],10-May-11
25300170,4,1387,"[517, 482, 151, 237]",9-Oct-14,31-Mar-14,0,4,1387,"[517, 482, 151, 237]",30-Nov-09
25287701,9,402,"[27, 55, 42, 24, 30, 50, 9, 35, 130]",7-Oct-14,28-Jan-14,0,5,0,[],11-Nov-11
25284270,9,386,"[65, 57, 21, 22, 28, 28, 34, 32, 99]",6-Oct-14,30-Jun-14,0,5,271,"[65, 57, 22, 28, 99]",31-Dec-09
25261861,1,45,[45],27-Sep-14,31-Mar-14,0,1,45,[45],28-Jun-10
25259677,22,8013,"[104, 120, 47, 127, 361, 32, 40, 298, 617, 899, 129, 317, 50, 340, 1315, 30, 72, 259, 295, 1805, 756]",26-Sep-14,1-Sep-14,0,21,7941,"[104, 120, 47, 127, 361, 32, 40, 298, 617, 899, 129, 317, 50, 340, 1315, 30, 259, 295, 1805, 756]",31-Oct-11
25233847,1,7,[7],19-Sep-14,31-Mar-14,0,1,7,[7],31-Oct-10
25231904,11,2433,"[326, 250, 36, 220, 982, 619]",18-Sep-14,5-Jun-14,0,6,2433,"[326, 250, 36, 220, 982, 619]",30-Nov-09
25229990,55,3468,"[45, 252, 145, 371, 23, 19, 40, 10, 9, 14, 45, 9, 13, 30, 21, 63, 20, 17, 25, 258, 15, 24, 17, 20, 18, 4, 10, 34, 102, 31, 15, 44, 26, 4, 184, 18, 22, 12, 18, 36, 21, 119, 25, 42, 11, 28, 888, 40, 75, 9, 38, 14, 5, 12, 58]",17-Sep-14,31-Jul-09,0,36,1889,"[252, 145, 371, 40, 10, 9, 14, 9, 13, 30, 20, 25, 21, 20, 4, 10, 34, 102, 31, 44, 26, 4, 184, 18, 19, 36, 119, 25, 42, 11, 40, 75, 9, 14, 5, 58]",31-Jul-09
25229700,6,0,[],17-Sep-14,26-Jun-14,0,5,0,[],2-Jan-12
25222766,13,531,"[94, 12, 62, 36, 46, 40, 28, 24, 60, 20, 49, 44, 16]",15-Sep-14,4-Sep-14,0,13,531,"[94, 12, 62, 36, 46, 40, 28, 24, 60, 20, 49, 44, 16]",28-Jun-12
25222632,39,105,"[2, 45, 48, 4, 2, 4]",15-Sep-14,31-Aug-12,0,5,0,[],18-Mar-09
