SR_ID_Pub3,No of trials_Pub3,No of participants_Pub3,List of participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,conclusion,No of trials_Pub2,No of participants_Pub2,List of participants_Pub2,SearchDate_Pub2
29161458,25,10759,"[974, 265, 131, 480, 24, 154, 40, 269, 329, 392, 148, 433, 155, 160, 73, 921, 54, 642, 606, 2868, 115, 419, 502, 456, 149]",21-Nov-17,31-May-17,0,23,7219,"[974, 197, 480, 24, 105, 40, 269, 329, 337, 148, 389, 151, 160, 954, 54, 642, 606, 115, 419, 224, 453, 149]",31-Jan-16
29144545,9,229,"[24, 1, 15, 11, 32, 15, 63, 8, 60]",16-Nov-17,6-May-16,1,5,237,"[68, 30, 19, 60, 60]",30-Nov-06
29190036,29,4093,"[100, 150, 150, 550, 330, 454, 454, 454, 254, 251, 150, 796]",14-Nov-17,11-Nov-16,0,21,3393,"[100, 150, 150, 330, 454, 454, 454, 254, 251, 796]",31-Jan-14
29129039,23,8292,"[144, 191, 2212, 100, 228, 68, 66, 480, 224, 113, 262, 293, 60, 14, 63, 401, 120, 183, 1555, 250, 606, 360, 299]",13-Nov-17,27-Nov-16,1,13,4357,"[144, 2212, 100, 228, 224, 60, 14, 61, 401, 120, 183, 250, 360]",11-Feb-14
29112241,1,14,[14],7-Nov-17,31-Aug-17,0,1,14,[14],7-Apr-14
29025194,32,10056,"[1250, 1180, 394, 685, 243, 630, 4507, 265, 1, 60, 48, 355, 255, 183]",12-Oct-17,28-Feb-17,1,14,4203,"[394, 458, 571, 243, 302, 223, 127, 172, 79, 27, 1381, 226]",31-May-11
28981957,2,0,[],5-Oct-17,25-Jul-16,0,2,0,[],15-Apr-13
28945919,50,4971,"[47, 238, 422, 57, 24, 377, 1589, 160, 40, 75, 45, 2, 89, 57, 104, 19, 306, 41, 4, 8, 253, 96, 75, 206, 21, 51, 49, 73, 42, 1, 203, 156, 24, 17]",25-Sep-17,30-Sep-16,1,5,578,"[422, 156]",12-May-10
28933805,19,630,"[81, 32, 130, 60, 60, 108, 54, 50, 7, 1, 47]",21-Sep-17,30-Jun-16,0,14,821,"[81, 32, 120, 90, 61, 90, 30, 90, 54, 24, 15, 21, 66, 47]",31-May-11
28933516,13,6702,"[315, 1204, 606, 489, 464, 551, 496, 1306, 61, 13, 576, 621]",21-Sep-17,31-Mar-17,1,8,1211,"[5, 9, 576, 621]",30-Nov-14
28922704,210,25041,"[1088, 74, 24, 462, 225, 403, 60, 68, 24, 34, 10, 48, 238, 301, 421, 16, 395, 188, 34, 417, 41, 18, 152, 93, 96, 631, 740, 527, 201, 20, 50, 59, 393, 52, 558, 386, 459, 25, 71, 30, 30, 16, 37, 32, 307, 107, 323, 51, 457, 13, 42, 35, 394, 168, 520, 64, 41, 81, 27, 60, 33, 40, 54, 63, 63, 35, 252, 72, 90, 122, 44, 211, 40, 40, 38, 100, 85, 48, 35, 53, 95, 391, 20, 351, 381, 250, 453, 40, 30, 121, 516, 323, 18, 30, 22, 77, 24, 101, 93, 84, 107, 244, 48, 239, 117, 1097, 280, 40, 37, 10, 50, 24, 70, 40, 64, 74, 288, 69, 26, 357, 39, 24, 656, 658, 678, 308, 62, 99, 429, 37, 24, 39, 111, 64, 424, 23, 154, 662, 394]",18-Sep-17,31-Oct-16,1,210,25041,"[1088, 74, 24, 462, 225, 403, 60, 68, 24, 34, 10, 48, 238, 301, 421, 16, 395, 188, 34, 417, 41, 18, 152, 93, 96, 631, 740, 527, 201, 20, 50, 59, 393, 52, 558, 386, 459, 25, 71, 30, 30, 16, 37, 32, 307, 107, 323, 51, 457, 13, 42, 35, 394, 168, 520, 64, 41, 81, 27, 60, 33, 40, 54, 63, 63, 35, 252, 72, 90, 122, 44, 211, 40, 40, 38, 100, 85, 48, 35, 53, 95, 391, 20, 351, 381, 250, 453, 40, 30, 121, 516, 323, 18, 30, 22, 77, 24, 101, 93, 84, 107, 244, 48, 239, 117, 1097, 280, 40, 37, 10, 50, 24, 70, 40, 64, 74, 288, 69, 26, 357, 39, 24, 656, 658, 678, 308, 62, 99, 429, 37, 24, 39, 111, 64, 424, 23, 154, 662, 394]",31-Oct-16
28901007,34,2816,"[200, 350, 200, 43, 80, 120, 84, 32, 102, 36, 56, 120, 52, 136, 32, 90, 40, 70, 65, 68, 84, 58, 100, 77, 294, 50, 91, 36, 50]",13-Sep-17,30-Nov-16,0,28,2616,"[350, 200, 43, 80, 120, 84, 32, 102, 36, 56, 120, 52, 136, 32, 90, 40, 70, 65, 68, 84, 58, 100, 36, 294, 50, 91, 77, 50]",31-Dec-09
28832905,4,1644,"[854, 201, 195, 394]",23-Aug-17,16-Feb-17,0,2,0,[],31-Jan-15
28809446,16,1828,"[586, 72, 180, 96, 25, 30, 60, 40, 138, 100, 24, 2, 197, 71, 41, 166]",15-Aug-17,12-Aug-16,0,4,24,[24],24-Jun-10
28799164,3,254,"[53, 113, 88]",11-Aug-17,31-Jan-17,1,1,53,[53],30-Apr-10
28791693,10,1088,"[118, 25, 38, 19, 20, 50, 527, 110, 168, 13]",9-Aug-17,31-Jan-17,0,8,870,"[118, 25, 38, 19, 20, 527, 110, 13]",31-Aug-11
28770972,5,0,[],2-Aug-17,30-Jun-16,0,5,0,[],30-Jun-16
28758203,48,3909,"[34, 150, 13, 311, 270, 324, 237, 1, 132, 114, 54, 19, 49, 192, 44, 13, 12, 16, 60, 19, 244, 13, 56, 231, 80, 78, 150, 30, 111, 35, 50, 27, 48, 26, 64, 376, 24, 39, 27, 60, 76]",31-Jul-17,31-May-16,0,39,2996,"[34, 13, 311, 270, 324, 237, 1, 132, 54, 19, 49, 44, 13, 12, 16, 60, 19, 244, 13, 56, 231, 78, 30, 111, 35, 50, 27, 48, 26, 376, 24, 39]",30-Jun-11
28756627,12,1508,"[30, 60, 44, 44, 9, 278, 123, 335, 438, 25, 16, 106]",30-Jul-17,24-Oct-16,0,10,1061,"[30, 60, 44, 44, 278, 123, 335, 25, 16, 106]",18-Feb-13
28755534,7,190,"[41, 20, 22, 24, 15, 32, 36]",29-Jul-17,31-May-17,0,5,139,"[41, 8, 22, 32, 36]",31-Mar-11
28752910,50,6335,"[58, 88, 112, 804, 60, 85, 34, 37, 39, 149, 80, 100, 107, 34, 100, 104, 84, 156, 110, 63, 92, 620, 170, 93, 58, 98, 29, 100, 120, 36, 44, 60, 56, 569, 200, 60, 52, 60, 64, 150, 65, 54, 46, 180, 102, 84, 358, 93, 218]",28-Jul-17,30-Sep-16,1,28,3548,"[218, 58, 88, 112, 804, 60, 85, 37, 107, 34, 104, 63, 100, 92, 620, 58, 98, 100, 36, 60, 56, 60, 60, 150, 65, 46, 84, 93]",30-Apr-13
28746980,31,3374,"[60, 158, 123, 263, 71, 122, 73, 90, 84, 194, 43, 40, 60, 285, 224, 87, 29, 66, 197, 137, 90, 120, 110, 156, 80, 80, 43, 84, 102, 103]",26-Jul-17,6-Feb-13,0,31,3374,"[60, 158, 123, 263, 71, 122, 73, 90, 84, 194, 43, 40, 60, 285, 224, 87, 29, 66, 197, 137, 90, 120, 110, 156, 80, 80, 43, 84, 102, 103]",6-Feb-13
28707404,8,355,"[61, 294]",14-Jul-17,17-Feb-17,0,2,355,"[61, 294]",1-Feb-15
28701028,23,2653,"[44, 60, 100, 50, 110, 156, 153, 253, 70, 60, 258, 215, 60, 180, 67, 93, 74, 115, 80, 109, 120, 152, 74]",12-Jul-17,28-Feb-17,0,19,2119,"[60, 60, 50, 110, 156, 153, 70, 60, 258, 215, 52, 180, 67, 93, 74, 80, 109, 120, 152]",30-Sep-13
28675262,1,58,[58],4-Jul-17,2-Feb-17,0,1,58,[58],14-Jun-10
