SR_ID_Pub3,Total_Trials_Pub3,Total_Participants_Pub3,PublicationDate_Pub3,SearchDate_Pub3,SearchDate_Pub2,Total_Trials_Pub2,Total_Participants_Pub2,conclusion
23450566,2,5455,28-Feb-13,15-Jan-12,30-Nov-07,1,432,0
24894643,4,436,4-Jun-14,10-Jan-14,14-May-09,4,436,0
28236296,19,1398,25-Feb-17,8-Mar-16,17-May-12,9,437,1
23846869,5,446,12-Jul-13,30-Apr-13,10-Jun-11,5,446,0
25620061,3,323,26-Jan-15,31-Jul-14,31-May-09,4,448,0
22972093,6,560,12-Sep-12,28-Feb-12,31-May-08,5,453,0
18677781,5,459,16-Jul-08,30-Apr-08,28-Feb-07,5,459,0
26996760,32,748,21-Mar-16,28-Feb-15,31-Mar-13,15,463,1
26661741,2,467,10-Dec-15,16-Feb-15,1-May-12,2,467,0
26517527,11,1317,30-Oct-15,30-Jun-15,31-May-98,8,467,1
21975772,4,467,5-Oct-11,30-Apr-11,30-Nov-08,4,467,0
23904194,10,502,1-Aug-13,31-Aug-12,28-Feb-07,9,470,0
25406011,9,539,18-Nov-14,15-Oct-14,30-Sep-08,6,475,1
22972067,5,481,12-Sep-12,31-Jul-11,31-Jan-07,5,481,0
23884904,10,1139,24-Jul-13,17-Jul-12,31-Mar-10,5,484,1
28230908,21,1386,17-Sep-15,30-Jun-16,30-Apr-11,7,485,1
24297303,12,508,2-Dec-13,28-Feb-13,31-Aug-10,11,495,0
28626902,6,496,19-Jun-17,31-Jan-17,31-Jul-14,6,496,0
23152254,6,496,14-Nov-12,31-Aug-12,31-Aug-09,6,496,0
20091500,14,496,20-Jan-10,30-Jun-09,30-Jun-09,14,496,0
28267223,9,3948,7-Mar-17,30-Nov-16,30-Nov-08,1,500,0
28602020,10,594,11-Jun-17,30-Nov-16,6-Aug-13,9,506,0
25117413,14,607,12-Aug-14,29-Apr-13,30-Apr-11,13,507,0
23440813,5,507,31-Jan-13,31-Aug-12,30-Sep-08,5,507,0
29944175,8,510,26-Jun-18,30-Sep-17,31-Jul-09,8,510,0
23908052,1,510,2-Aug-13,31-May-13,16-Jun-10,1,510,0
23922167,5,535,6-Aug-13,30-Apr-13,4-Jan-12,4,511,0
